Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
440,37070.1883,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
441,37126.1379,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
442,37183.6557,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
443,37245.4998,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
444,37301.9795,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
445,37357.6930,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
446,37414.7810,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
447,37482.8130,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
448,37540.5910,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
449,37595.5080,3.54e+12,1.0,0.0,3316.140135099568,1918.0358008200656,1.30e+05,194459.94954104372,18307.327748393902,0.0,1.3774301230799765e-06,0.6256797798527558,0.6826612753824197,0.6096733809038808,0.33008624855490454,1.4385521947105289,0.0,1683.0,1235.0,
450,37654.5820,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
451,37715.0650,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
452,37771.4720,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
453,37828.4110,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
454,37886.1050,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
455,37941.8820,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
456,38002.0770,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
457,38059.7440,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
458,38120.3620,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
459,38176.9410,3.53e+12,1.0,0.0,3315.7650199236004,1914.6052395476236,1.30e+05,194392.59671392743,18263.19955447433,0.0,1.3772542520319333e-06,0.6264540490691011,0.6833083873459094,0.6091122087988994,0.3296497170379707,1.440556829030429,0.0,1683.0,1235.0,
460,38234.0470,3.53e+12,1.0,0.0,3313.449919818329,1912.620109237016,1.30e+05,194465.44339776464,18239.06455388841,0.0,1.3762956320426596e-06,0.6260183732396856,0.6828534836368332,0.6090646046855749,0.3305380568670394,1.4399862248083384,0.0,1683.0,1235.0,
461,38294.2760,3.53e+12,1.0,0.0,3313.449919818329,1912.620109237016,1.30e+05,194465.44339776464,18239.06455388841,0.0,1.3762956320426596e-06,0.6260183732396856,0.6828534836368332,0.6090646046855749,0.3305380568670394,1.4399862248083384,0.0,1683.0,1235.0,
462,38350.8960,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
463,38407.1800,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
464,38464.6400,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
465,38523.7890,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
466,38584.0720,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
467,38640.4350,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
468,38694.2900,3.52e+12,1.0,0.0,3312.383841189914,1910.3220604705675,1.30e+05,194520.11941999264,18217.4171765312,0.0,1.3753210278455658e-06,0.6262963862725321,0.6831092210805465,0.6088441604182823,0.33066817526377124,1.4405409083132432,0.0,1683.0,1235.0,
