Loop,Time,r0-A,p0-C0,p0-Cpa,r0-E,r0-Hp,p0-K,Value,p0-eps,p0-ka,r0-n,r0-nO2,p0-rho,
338,39685.8740,1.81e+11,1.0,1610.9916735109841,1.37e+05,455941.62772001384,488.5832119476912,1.0319950642618941e-05,0.4036116179625417,0.10208901849058488,3.376325190591392,0.0,1180.0,
339,39733.6540,1.81e+11,1.0,1610.6002234722732,1.37e+05,456025.2821864503,488.87811377879655,1.031152543634477e-05,0.40383893893312606,0.10207488756937433,3.375525376053748,0.0,1180.0,
340,39785.0160,1.82e+11,1.0,1609.954873431373,1.37e+05,456115.5401416337,489.24038068384937,1.0292365496134081e-05,0.40418360736247705,0.1020394187977004,3.374280919788291,0.0,1180.0,
341,39833.7370,1.83e+11,1.0,1607.687093229239,1.38e+05,456643.52014915843,491.06584472032023,1.0257831469669568e-05,0.4054768535405364,0.10198197204142297,3.3697695631281,0.0,1180.0,
342,39885.0150,1.85e+11,1.0,1606.2872003574473,1.38e+05,456931.7731057443,492.15063944633124,1.0242709556093556e-05,0.406240180533424,0.10194008284283096,3.367127955975155,0.0,1180.0,
343,39936.0460,1.85e+11,1.0,1605.4522664105848,1.38e+05,457076.8402207522,492.72504964659527,1.0232013354672014e-05,0.4066916411290459,0.10190537808863576,3.365542935768434,0.0,1180.0,
344,39988.3560,1.85e+11,1.0,1605.1574303485083,1.38e+05,457120.9077962261,492.8946794411595,1.0231896923033438e-05,0.4068505673536903,0.10188962612843544,3.3649693794545774,0.0,1180.0,
345,40040.9480,1.85e+11,1.0,1605.1574303485083,1.38e+05,457120.9077962261,492.8946794411595,1.0231896923033438e-05,0.4068505673536903,0.10188962612843544,3.3649693794545774,0.0,1180.0,
346,40089.1850,1.85e+11,1.0,1605.1268862866827,1.38e+05,457115.20867894206,493.03479371213143,1.021922373289671e-05,0.4068475266136322,0.10189012650933679,3.365065967118231,0.0,1180.0,
347,40141.8590,1.87e+11,1.0,1603.071296173125,1.38e+05,457455.6109231876,494.3949763264273,1.0185938466201268e-05,0.4079680294244898,0.10179005863802076,3.361108224714412,0.0,1180.0,
348,40195.9990,1.91e+11,1.0,1598.0728828107349,1.38e+05,458240.5238962119,498.1200174126599,1.0127172254068792e-05,0.410604563223558,0.10156618178111562,3.3520850691086017,0.0,1180.0,
349,40247.2160,1.92e+11,1.0,1595.7343527521907,1.39e+05,458467.570886121,499.76095321000196,1.0101168286917013e-05,0.4117538801265525,0.1014328461950878,3.348209948239866,0.0,1180.0,
350,40297.6260,1.95e+11,1.0,1592.5156667533051,1.39e+05,458915.2953396373,502.0905888917016,1.0080919658724161e-05,0.4134199678584005,0.10127430129925008,3.342518986491704,0.0,1180.0,
351,40351.5150,1.97e+11,1.0,1589.4858376493426,1.39e+05,459169.0650258067,504.3345231650362,1.0077660782316348e-05,0.4148554644738267,0.10110204725885608,3.337818259190258,0.0,1180.0,
352,40405.1380,1.96e+11,1.0,1590.2966903394392,1.39e+05,459046.7518012072,503.73042991518736,1.0069554181265468e-05,0.4144126247165159,0.10114812704153886,3.339334760936965,0.0,1180.0,
353,40451.6710,1.95e+11,1.0,1591.2796052924846,1.39e+05,458823.8756547865,503.0224692798182,1.0045278039664022e-05,0.41378584830462606,0.10120894609733323,3.341585375996763,0.0,1180.0,
354,40501.0320,1.93e+11,1.0,1593.875119925313,1.39e+05,458383.1882564051,501.1608697945735,1.0029908756693597e-05,0.4123149922106557,0.10135633110665943,3.346728086025795,0.0,1180.0,
355,40546.7040,1.94e+11,1.0,1592.415671354464,1.39e+05,458516.47917826736,502.1912049407163,1.0020948029993417e-05,0.41301355196163214,0.10127570590964799,3.3443985116761556,0.0,1180.0,
356,40589.2150,1.93e+11,1.0,1593.4303648174905,1.39e+05,457838.82632758236,501.4742153125856,9.979837529381501e-06,0.41188834724495427,0.10133550655858534,3.3488736673406256,0.0,1180.0,
357,40637.4480,1.94e+11,1.0,1591.5724868552552,1.39e+05,458012.8283302502,502.8068815078475,9.977991964244716e-06,0.41278835769941263,0.10122932154538186,3.345879078626138,0.0,1180.0,
358,40682.0240,1.93e+11,1.0,1591.8380462414218,1.39e+05,457823.0067699328,502.6302614579668,9.97610120567873e-06,0.4124790605357407,0.10124594201111103,3.3471213297670204,0.0,1180.0,
359,40737.0090,1.93e+11,1.0,1592.395413969149,1.39e+05,457842.61168710375,502.2440927345524,9.97137447933725e-06,0.41227723222143614,0.10128338748600824,3.347711328528419,0.0,1180.0,
360,40779.9630,1.94e+11,1.0,1591.3339083940054,1.39e+05,457793.8234195466,503.13099183837994,9.952656320470296e-06,0.41258682474726693,0.10124967350919116,3.3469365922895182,0.0,1180.0,
361,40828.1720,1.94e+11,1.0,1589.3991068931675,1.39e+05,457878.84588407294,505.02087461947764,9.900004131819656e-06,0.41323203465356584,0.10125296702365871,3.3451943098365566,0.0,1180.0,
362,40879.9550,1.94e+11,1.0,1589.470054550624,1.39e+05,457816.4828019842,504.9978786521069,9.898982522557233e-06,0.4131273514974493,0.10126294445527623,3.3456281927475553,0.0,1180.0,
363,40921.1900,1.94e+11,1.0,1589.3459014779305,1.39e+05,457850.30774386786,505.11868438712014,9.895758194089595e-06,0.41320127192178957,0.10126229826107334,3.345371835746775,0.0,1180.0,
364,40964.0940,1.94e+11,1.0,1589.8434401146922,1.39e+05,457746.5006630256,504.94464519961446,9.889122767118262e-06,0.41283602921305973,0.10132870106912745,3.3467611464156946,0.0,1180.0,
365,41006.6760,1.93e+11,1.0,1590.2671882965537,1.39e+05,457614.20196040394,504.72370587223594,9.887109462314257e-06,0.4125034796096818,0.10136933854181579,3.3480298446271943,0.0,1180.0,
366,41047.2020,1.94e+11,1.0,1590.2409172218167,1.39e+05,457761.10095605714,504.6845747181746,9.880530319766188e-06,0.4126993366868651,0.10135240139879227,3.347162530795657,0.0,1180.0,
367,41091.4900,1.93e+11,1.0,1591.3374281431543,1.39e+05,457657.224162685,503.92509527477614,9.876045784072483e-06,0.41216731987763944,0.10141548402153128,3.3489471115009017,0.0,1180.0,
368,41136.8090,1.93e+11,1.0,1591.441346814901,1.39e+05,457674.0797919212,503.87419414106114,9.870660911921027e-06,0.4121460362335845,0.10142220171055857,3.3489947158179576,0.0,1180.0,
369,41189.5120,1.92e+11,1.0,1592.4980213616682,1.39e+05,457513.0300891523,503.16109832498415,9.868502364067074e-06,0.4115658206644015,0.10148444806937387,3.35102373799747,0.0,1180.0,
370,41240.5490,1.91e+11,1.0,1593.5180878750612,1.39e+05,457274.9059731272,502.55819993466145,9.859615466439184e-06,0.410886765051074,0.10156259353614672,3.35352862891581,0.0,1180.0,
371,41292.0690,1.92e+11,1.0,1592.4610356786488,1.39e+05,457375.1905892993,503.24955896366754,9.853705251752082e-06,0.4114165076763524,0.1014918403726637,3.3517281940162618,0.0,1180.0,
372,41344.1570,1.91e+11,1.0,1593.2688261859676,1.39e+05,457102.85242547083,502.7757196994545,9.847419772194902e-06,0.4107974941607693,0.10154910930779196,3.354084510005964,0.0,1180.0,
373,41398.5420,1.91e+11,1.0,1593.2688261859676,1.39e+05,457102.85242547083,502.7757196994545,9.847419772194902e-06,0.4107974941607693,0.10154910930779196,3.354084510005964,0.0,1180.0,
374,41451.0120,1.91e+11,1.0,1593.2688261859676,1.39e+05,457102.85242547083,502.7757196994545,9.847419772194902e-06,0.4107974941607693,0.10154910930779196,3.354084510005964,0.0,1180.0,
375,41504.4030,1.91e+11,1.0,1592.592434364225,1.39e+05,456901.7850370425,503.32670492269006,9.846516849273885e-06,0.41081979416260406,0.10152274084762666,3.3543739130256567,0.0,1180.0,
376,41558.6750,1.91e+11,1.0,1592.9399396405852,1.39e+05,456992.6492541918,503.06864116911316,9.844705538806781e-06,0.4107879835509188,0.1015407433394181,3.354321488521527,0.0,1180.0,
377,41610.1520,1.91e+11,1.0,1592.9399396405852,1.39e+05,456992.6492541918,503.06864116911316,9.844705538806781e-06,0.4107879835509188,0.1015407433394181,3.354321488521527,0.0,1180.0,
378,41663.7180,1.91e+11,1.0,1592.6403736647471,1.39e+05,456937.47110927757,503.32638385562865,9.843869162519877e-06,0.4108260685992483,0.10153377185901657,3.3543230321117683,0.0,1180.0,
379,41714.2810,1.91e+11,1.0,1592.638822669158,1.39e+05,456902.51276601094,503.41097166809925,9.838670239722761e-06,0.4107618798132495,0.10155035141547536,3.3546262874961332,0.0,1180.0,
380,41767.1180,1.94e+11,1.0,1583.1289753146286,1.39e+05,456353.02134707733,506.8076243266738,9.673621131525778e-06,0.412530204608742,0.10130235587544338,3.350605515200028,0.0,1180.0,
